city_code,city,2001,2006,2007,2011,2013,2015,2019
110000,Beijing,7.48463E-06,3.46526E-05,3.44526E-05,0.00011425,0.000187115,0.000283378,0.000559055
120000,Tianjin,1.96941E-06,1.37002E-06,1.25117E-06,6.2224E-06,1.2749E-05,2.62927E-05,2.82491E-05
130100,Shijiazhuang,3.34844E-07,7.45077E-07,4.18826E-07,5.01354E-07,1.89394E-06,2.81871E-06,7.69962E-06
130200,Tangshan,0,0,0,2.71334E-07,4.06119E-07,1.32457E-07,2.24868E-06
130300,Qinhuangdao,0,1.78228E-06,0,3.45066E-07,3.41647E-07,1.69125E-06,3.72093E-05
130400,Handan,2.36874E-07,0,3.34687E-07,1.02041E-07,4.02414E-07,2.85796E-07,3.77003E-07
130500,Xingtai,0,0,0,0,3.93236E-07,0,1.1236E-06
130600,Baoding,0,9.04094E-08,0,7.75394E-07,1.71836E-06,1.91318E-06,4.85597E-06
130700,Zhangjiakou,0,0,0,0,8.56714E-07,2.13215E-07,4.30108E-06
130800,Chengde,0,0,0,0,0,0,2.61097E-07
130900,Cangzhou,1.48467E-07,0,0,5.44366E-07,1.32573E-07,3.87417E-07,6.35324E-07
131000,Langfang,0,0,0,0,1.42045E-06,4.33717E-07,2.48447E-06
131100,Hengshui,0,0,0,9.05797E-07,1.11732E-06,4.42223E-07,8.73362E-07
140100,Taiyuan,1.90289E-06,8.60042E-07,1.40722E-06,2.73973E-07,6.2585E-06,8.4379E-06,2.29167E-05
140200,Datong,0,9.80873E-07,2.90867E-06,3.44936E-06,2.07407E-06,1.89741E-06,1.25786E-06
140300,Yangquan,0,0,0,0,0,0,0
140400,Changzhi,6.32591E-07,7.81006E-06,6.17665E-06,1.7948E-06,3.544E-06,3.26555E-06,7.64706E-06
140500,Jincheng,0,0,0,0,0,3.18994E-06,0
140600,Shuozhou,1.42816E-06,1.34363E-06,1.30804E-06,1.15875E-06,0,1.23831E-06,1.82927E-06
140700,Jinzhong,0,0,0,0,0,6.06686E-07,0
140800,Yuncheng,0,0,0,1.93536E-07,2.29709E-06,0,3.50195E-06
140900,Xinzhou,0,0,0,0,0,0,0
141000,Linfen,0,0,0,0,0,3.48359E-06,2.32019E-07
141100,Lvliang,0,2.76358E-07,5.40365E-07,0,0,0,0
150100,Huhehaote,0,0,0,0,0,3.35317E-06,2.40964E-06
150200,Baotou,4.8506E-07,0,0,0,0,4.46708E-07,5.33333E-06
150300,Wuhai,0,0,0,0,0,0,0
150400,Chifeng,0,0,0,0,0,0,4.34783E-07
150500,Tongliao,0,0,0,3.12402E-07,3.11333E-07,0,0
150600,Eerduosi,0,0,0,0,0,0,0
150700,Hulunbeier,0,0,0,0,0,0,3.92157E-07
150800,Bayannaoer,0,0,0,0,0,5.7241E-07,5.74713E-07
150900,Wulanchabu,0,0,0,0,0,0,0
152200,Xingan,0,0,0,0,0,0,0
152500,Xilinguole,0,0,0,0,0,0,0
152900,Alashan,0,0,0,0,0,0,0
156400,Zhongchaogongyou,0,0,0,0,0,0,0
210100,Shenyang,1.45066E-06,1.70561E-06,4.22672E-07,4.98132E-06,4.81364E-06,1.01313E-05,1.64021E-05
210200,Dalian,7.21228E-07,0,1.55658E-06,2.71878E-06,8.28402E-06,1.3478E-05,1.2187E-05
210300,Anshan,0,0,1.71306E-06,3.41297E-06,8.57633E-07,2.02283E-06,2.94118E-06
210400,Fushun,4.86317E-06,0,0,0,0,7.87912E-06,9.66184E-07
210500,Benxi,0,0,0,6.48088E-07,0,0,6.89655E-07
210600,Dandong,0,0,0,0,0,4.19903E-07,0
210700,Jinzhou,0,0,0,0,0,0,0
210800,Yingkou,0,0,0,2.54777E-06,2.58065E-06,0,4.329E-07
210900,Fuxin,0,0,0,0,0,0,0
211000,Liaoyang,0,0,0,0,5.55556E-07,0,0
211100,Panjin,5.69337E-06,0,1.16968E-05,1.90549E-05,1.16279E-05,3.62822E-05,9.53846E-05
211200,Tieling,0,3.28364E-07,0,0,0,0,0
211300,Chaoyang,0,0,0,0,2.94551E-07,0,0
211400,Huludao,0,0,0,0,0,0,0
220100,Changchun,0,2.97595E-06,2.41303E-06,2.23156E-06,5.57991E-06,4.64296E-06,7.1618E-06
220200,Jilin,6.95443E-07,1.1616E-06,6.93369E-07,9.23148E-07,1.16523E-06,5.39602E-06,6.06796E-06
220300,Siping,0,0,0,0,0,0,1.88679E-06
220400,Liaoyuan,0,0,0,0,0,0,0
220500,Tonghua,0,0,0,0,4.49843E-07,4.52284E-07,0
220600,Baishan,0,0,0,0,0,0,0
220700,Songyuan,0,0,3.55492E-07,0,0,2.87697E-06,0
220800,Baicheng,0,0,0,0,0,0,0
222400,Yanbian,0,0,0,0,0,0,0
230100,Haerbin,8.50069E-07,8.15993E-07,2.02569E-07,3.02024E-07,1.40675E-06,2.08036E-06,3.68034E-06
230200,Qiqihaer,0,1.7671E-07,0,0,1.0772E-06,1.8202E-06,9.48767E-07
230300,Jixi,0,0,0,0,0,0,5.91716E-07
230400,Hegang,0,0,0,0,0,0,0
230500,Shuangyashan,0,0,0,6.61376E-07,0,6.78288E-07,1.41844E-06
230600,Daqing,0,1.114E-06,0,0,7.07714E-07,4.71904E-06,1.91176E-05
230700,Yichun,0,1.56568E-06,0,0,0,0,2.67857E-06
230800,Jiamusi,0,0,0,0,4.13052E-07,0,4.29185E-07
230900,Qitaihe,0,0,0,0,1.08696E-06,0,0
231000,Mudanjiang,3.68704E-07,0,3.70604E-07,0,0,3.81679E-07,0.0000008
231100,Heihe,5.78402E-07,0,0,0,0,1.19048E-06,0
