city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anshan,32.27,32.68,33.16,33.61,34.59,35.95,38.01,41,17.3407281,17.72260274,18.2161235,18.6875359,19.47984395,17.82080925,18.27616279,18.49415205,19.89411765
Fushun,27.52,28.27,28.39,33.1,30.13,31.16,32.13,45,21.82644253,22.57637939,23.14678899,23.59705612,23.92473118,24.18604651,0,25.18660287,25.89855072
Benxi,44.01,44.52,45.14,48.75,46.27,46.77,49.95,51,31.91186001,34.47780679,35.12803677,35.07894737,153.3694861,154.6066667,156.8310811,159.0684932,160.2896552
Dandong,23.46,24.05,24.38,26.15,25.03,25.08,26.72,25,8.730817088,8.158004158,8.502294535,8.509394572,12.6013017,12.6092437,0,0,14.60085837
Jinzhou,30.41,30.6,30.59,31.68,30.45,26.63,27.81,28,8.592280247,8.668398831,9.967309578,10.09171307,14.58553675,12.1589404,10.43243243,10.57627119,13.40955631
Yingkou,24.92,27.68,31.51,33.27,35.65,38.75,38.37,42,16.78556263,17.27350064,17.46666667,17.41963138,17.82305907,17.86266094,26.44396552,26.83982684,27.8961039
Fuxin,22.11,23.32,24.66,25.34,25.51,27.38,29.72,35,16.01769912,15.11482255,15.04447933,15.38743455,16.67282419,16.84656085,16.37096774,17.16216216,17.375
Liaoyang,34.1,35.89,36.59,37.85,38.9,39.55,40.19,47,20.97587719,21.70271769,22.13333333,24.30794886,23.29570854,23.3575419,24.06214689,24.34285714,24.53448276
Panjin,25.58,28.59,31.18,32.83,32.34,32.98,33.69,34,16.51676829,18.23757764,19.51937984,21.74148607,21.85425351,22.04615385,28.56923077,32.32307692,32.57692308
Tieling,38.76,35.8,35.71,34.15,33.37,34.19,38.44,35,5.086913742,5.258107214,6.816826764,6.847682119,6.891271057,6.42,7.166666667,7.215753425,8.269896194
Chaoyang,41.5,42.03,41.73,43.16,39.23,39.27,41.51,16,2.865102639,3.526130358,3.846833579,4.001761597,4.12437665,4.134897361,4.285714286,4.443452381,5.223880597
Huludao,28.3,27.77,27.76,27.48,27.29,27.2,27.46,28,10.35549236,10.83928571,10.81100393,11.1043819,11.34237772,12.03928571,12.31768953,11.47826087,12.64855072
Changchun,18.75,20.51,23.32,26.06,27.62,32.97,31.93,37,17.58335521,17.18456864,14.25136176,21.26424596,23.98286086,24.67596282,26.1388518,31.86151798,55.79045093
