city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liaoyang,2387762,2900185,3300613,3930333,4677120,5666088,6082597,7354295,8886669,10004881,10799909,10146163,10285818,6541758,5135963,8697260,8310000
Panjin,3380089,3687000,4413248,5091464,5628575,6750045,6768658,9263214,11199202,12449563,13510562,13039536,12565377,10071351,9736271,12165782,12810000
Tieling,1765242,2160570,2642307,3239324,4039664,5363280,6057065,7221291,8738428,9753258,10312722,8672909,7409003,5880423,1295727,6166189,6400000
Chaoyang,1198189,1527847,2121350,2540231,3342279,4466114,5180944,6564084,8130202,9206331,10028603,9935232,8547329,7165334,1936827,8314297,8430000
Huludao,2400291,2933558,2995243,3481105,4175255,4578221,4455816,5314485,6500636,7193325,7751057,7215505,7201673,6473518,3600729,8127841,8070000
Changchun,13380369,15350051,16784691,17411922,20890859,25618985,28485627,33290329,40030775,44566446,50031808,53424262,55300345,59864200,51428765,71757117,59040000
Jilin,6001038,7037040,6296913,7288301,10080128,13000948,15004776,18006376,22080487,24300668,26174061,23795605,23941860,24535091,13344871,22102386,14170000
Siping,2313066,2794099,3307059,3801684,4752497,5965476,6585947,7795527,9845977,11228017,12103434,12103150,12332487,11938035,1613303,9443242,7960000
Liaoyuan,816105,1000597,1370800,1716110,2165000,2711856,3361820,4101426,5004925,6051273,7003010,6903093,7266404,7652485,4251037,6216011,4100000
Tonghua,1923723,2178000,2336343,2847362,3536277,4473262,5180017,6270844,7802319,8811232,10034500,10084958,10012129,9475914,1890231,8293000,7260000
Baishan,1098582,992254,1604820,1919006,2374523,3003488,3566348,4331670,5314342,6430212,6736447,6752889,6685521,6966243,3546055,6617099,5090000
Songyuan,2271321,2847227,3655508,4736781,6073494,8067183,9008304,11028462,13609668,16054206,16504848,15962932,16373003,16516898,3913200,13736009,7300000
Baicheng,1233531,1370006,1521856,1900399,2286120,2907212,3533626,4451802,5545757,6155007,6923486,6861811,6996822,7001392,1676260,6065061,4920000
Haerbin,14147991,16804635,18304514,20940751,24368044,28681851,31755391,36648538,42421894,45502155,50170491,53400715,57512119,61016096,47127585,63004794,52490000
Qiqihaer,3501690,4018847,4224396,4815986,5560392,6658807,6905169,8804569,10658065,11760768,12303980,12093360,12703250,13253110,6366549,13401571,11290000
Jixi,1691294,1946995,2046355,2362214,2646464,3158814,3538182,4194931,5078321,5823381,5709117,5160088,5146868,5183793,1654705,5351782,5520000
Hegang,880058,1048765,1120588,1300017,1535718,1846919,2023349,2509870,3130593,3582393,3200142,2594613,2655736,2641031,1415313,2895770,3360000
Shuangyashan,1148876,1366325,1466204,1692288,2064301,2600512,2985082,3963504,5029164,5654312,5551063,4326831,4333342,4373971,1213525,5070075,4760000
Daqing,11256009,12395380,14007195,16203336,18222781,22203734,21200036,29000642,37415389,40010695,41814993,40775057,29834587,26100031,22907157,28011583,25680000
Yichun,950709,1092023,1159296,1303332,1532188,1790114,1724616,2024407,2296836,2600327,2844921,2560255,2481966,2512167,1650320,2741523,2990000
Jiamusi,2008599,2362956,2415433,2785370,3368924,3985000,4326603,5124563,6253089,6682943,7921480,7659799,8101676,8450332,4561525,10120491,7630000
Qitaihe,796885,965164,1002149,1142269,1351595,1871613,2336262,3052237,3080590,2989081,2409883,2142590,2126515,2166414,1757953,2503258,2310000
Mudanjiang,2669036,3017544,3028103,3470888,4169660,5060872,6292848,7649791,9403461,9810518,12160742,12640168,13107000,13681181,3589212,13027111,8250000
Heihe,971388,1122757,1204960,1356863,1663188,2056219,2242095,2610994,3160451,3660823,3896462,4213621,4478252,4708056,349527,5051299,5790000
Suihua,3498974,3975993,3507883,3972715,4472112,5417896,6058790,7334286,9120937,10579799,11838630,11902452,12722076,13163122,1765596,13595852,11010000
Shanghai,62508100,74502700,91541800,103663700,121888500,136981500,150464500,171659800,191956900,201817200,216021200,235677000,251234500,281786500,306329900,326798700,381560000
Nanjing,15763300,19100000,24111100,27737800,32837300,37750000,42302608,51306500,61455200,72015700,80117800,88207500,97207700,105030200,117151000,128204000,140310000
Wuxi,19012200,23500000,28046800,33005900,38585400,44195000,49917200,57933000,68801509,75681500,80701800,82053100,85182600,92100200,54652800,114386200,118520000
Xuzhou,9057900,10958000,12121500,14288000,16795600,20073600,23901600,29421394,35516456,40165800,44358243,49639100,53198804,58085200,33978846,67552300,71510000
Changzhou,9014200,11006100,13033600,15694600,18812800,22022300,25199300,30448900,35809857,39698700,43609347,49018700,52731500,57738600,57722100,70502700,74010000
Suzhou,28015600,34500000,40265200,48202600,57008500,67012900,77402000,92289100,107169900,120116500,130157000,137608900,145040700,154750900,81945100,185974700,192360000
Nantong,10067100,12260619,14720800,17583400,21118800,25101300,28728038,34656700,40802200,45586700,50388916,56526900,61483955,67682000,28626300,84270000,93830000
Lianyungang,3449236,4163600,4559700,5273800,6181800,7501000,9411300,11933100,14105200,16034200,17854217,19658900,21606400,23764800,14478400,27717000,31390000
Huaian,4206400,5009700,5618100,6510600,7652300,9158300,11217500,13880700,16900000,19209100,21558600,24553900,27450900,30480000,22359500,36012500,38710000
Yancheng,7433900,8713600,10049000,11742600,13712600,16032600,19170000,23327600,27713300,31200000,34755000,38356200,42125000,45760800,20373200,54870800,57020000
Yangzhou,6472200,7881300,9220200,11001600,13118900,15732900,18563943,22294884,26303025,29332000,32520078,36979100,40168400,44493800,32484000,54661700,58500000
